scenario,Year,livestock_value_usd,enteric_manure_cost_usd,nitrogen_cost_usd,land_opportunity_cost_usd,total_external_cost_usd,total_external_cost_wo_land_usd,net_welfare_usd,net_welfare_wo_land_usd,cost_to_benefit,cost_to_benefit_wo_land
high,2000,307213930000.0,589943529840.0,503757369322.68,6534864538458.334,7628565437621.014,1093700899162.68,-7321351507621.014,-786486969162.68,24.831443800810117,3.5600628498931672
high,2001,312920683000.0,587931241060.0,499232841916.38,6533293384476.667,7620457467453.047,1087164082976.38,-7307536784453.047,-774243399976.38,24.352680667813342,3.474248082784544
high,2002,320431756000.0,590415409360.0,541421427628.62006,6519916111660.001,7651752948648.62,1131836836988.62,-7331321192648.62,-811405080988.62,23.8795088357242,3.53222430609724
high,2003,326527581000.0,595730023320.0,560128286589.9601,6490439747168.334,7646298057078.294,1155858309909.96,-7319770476078.294,-829330728909.96,23.41700518425209,3.5398489351806393
high,2004,336123255000.0,601408117120.0,546084773703.48004,6415428442476.667,7562921333300.147,1147492890823.48,-7226798078300.147,-811369635823.4801,22.500440599684623,3.413905089142017
high,2005,350440198000.0,607010947600.0,558660426329.28,6456531013378.334,7622202387307.613,1165671373929.28,-7271762189307.613,-815231175929.28,21.750365485490374,3.326306116084548
high,2006,360457587000.0,612207461040.0,582417405653.8201,6459757268770.0,7654382135463.82,1194624866693.82,-7293924548463.82,-834167279693.82,21.235181090705744,3.3141898236527343
high,2007,370586859000.0,614070429160.0,587555004767.9401,6443730274081.667,7645355708009.607,1201625433927.94,-7274768849009.607,-831038574927.9401,20.630401543756864,3.2424933716495867
high,2008,385696890000.0,618053809540.0,546099337685.88,6423413393626.667,7587566540852.547,1164153147225.8801,-7201869650852.547,-778456257225.88,19.672356032874795,3.018310951965104
high,2009,391801124000.0,617941309700.0,590012856168.12,6411362174380.0,7619316340248.12,1207954165868.12,-7227515216248.12,-816153041868.12,19.44689760575603,3.0830798889390634
high,2010,401389564000.0,616880474740.0,608125421451.9,6434333113958.334,7659339010150.233,1225005896191.9,-7257949446150.233,-823616332191.9,19.082058172668965,3.0519126705344535
high,2011,409449881000.0,616940217520.0,600752858521.2001,6460148476961.667,7677841553002.867,1217693076041.2,-7268391672002.867,-808243195041.2001,18.751602843921372,2.9739734520552954
high,2012,415284668000.0,619136016240.0,613491529856.04,6448836701903.334,7681464247999.374,1232627546096.04,-7266179579999.374,-817342878096.04,18.49686453630254,2.968150863917856
high,2013,415153247000.0,620717845140.0,595640158449.6001,6428276864451.667,7644634868041.268,1216358003589.6,-7229481621041.268,-801204756589.6,18.414007172732692,2.929901216910391
high,2014,428035260000.0,624154390040.0,576844130204.76,6424327732761.667,7625326253006.428,1200998520244.76,-7197290993006.428,-772963260244.76,17.81471520128138,2.8058401549553653
high,2015,405857868000.0,622591248660.0,566914704764.76,6350640359353.334,7540146312778.094,1189505953424.76,-7134288444778.094,-783648085424.76,18.578292814513315,2.9308436455512057
high,2016,411479245000.0,628687592620.0,557426898694.38,6340677097628.334,7526791588942.714,1186114491314.38,-7115312343942.714,-774635246314.38,18.29203217514097,2.882562135823837
high,2017,424366631000.0,630384468840.0,540029864196.24,6385546358063.334,7555960691099.574,1170414333036.24,-7131594060099.574,-746047702036.24,17.80526586950135,2.7580263091803747
