scenario,Year,livestock_value_usd,enteric_manure_cost_usd,land_opportunity_cost_usd,nitrogen_cost_usd,total_external_cost_usd,net_welfare_usd,cost_to_benefit_ratio
high,2000,307213930000.0,589943529840.0,6534864538458.334,503757369322.68,7628565437621.014,-7321351507621.014,24.831443800810117
high,2001,312920683000.0,587931241060.0,6533293384476.667,499232841916.38,7620457467453.047,-7307536784453.047,24.352680667813342
high,2002,320431756000.0,590415409360.0,6519916111660.001,541421427628.62006,7651752948648.62,-7331321192648.62,23.8795088357242
high,2003,326527581000.0,595730023320.0,6490439747168.334,560128286589.9601,7646298057078.294,-7319770476078.294,23.41700518425209
high,2004,336123255000.0,601408117120.0,6415428442476.667,546084773703.48004,7562921333300.147,-7226798078300.147,22.500440599684623
high,2005,350440198000.0,607010947600.0,6456531013378.334,558660426329.28,7622202387307.613,-7271762189307.613,21.750365485490374
high,2006,360457587000.0,612207461040.0,6459757268770.0,582417405653.8201,7654382135463.82,-7293924548463.82,21.235181090705744
high,2007,370586859000.0,614070429160.0,6443730274081.667,587555004767.9401,7645355708009.607,-7274768849009.607,20.630401543756864
high,2008,385696890000.0,618053809540.0,6423413393626.667,546099337685.88,7587566540852.547,-7201869650852.547,19.672356032874795
high,2009,391801124000.0,617941309700.0,6411362174380.0,590012856168.12,7619316340248.12,-7227515216248.12,19.44689760575603
high,2010,401389564000.0,616880474740.0,6434333113958.334,608125421451.9,7659339010150.233,-7257949446150.233,19.082058172668965
high,2011,409449881000.0,616940217520.0,6460148476961.667,600752858521.2001,7677841553002.867,-7268391672002.867,18.751602843921372
high,2012,415284668000.0,619136016240.0,6448836701903.334,613491529856.04,7681464247999.374,-7266179579999.374,18.49686453630254
high,2013,415153247000.0,620717845140.0,6428276864451.667,595640158449.6001,7644634868041.268,-7229481621041.268,18.414007172732692
high,2014,428035260000.0,624154390040.0,6424327732761.667,576844130204.76,7625326253006.428,-7197290993006.428,17.81471520128138
high,2015,405857868000.0,622591248660.0,6350640359353.334,566914704764.76,7540146312778.094,-7134288444778.094,18.578292814513315
high,2016,411479245000.0,628687592620.0,6340677097628.334,557426898694.38,7526791588942.714,-7115312343942.714,18.29203217514097
high,2017,424366631000.0,630384468840.0,6385546358063.334,540029864196.24,7555960691099.574,-7131594060099.574,17.80526586950135
high,2018,365638181000.0,585010428260.0,6211746634450.0,492202227207.89996,7288959289917.9,-6923321108917.9,19.93489648696699
high,2019,378728928000.0,587276093120.0,6214372544208.334,470821081074.96,7272469718403.294,-6893740790403.294,19.20230851339482
high,2020,394637286000.0,601040928800.0,6205084597345.0,500769849233.28,7306895375378.28,-6912258089378.28,18.515471382443778
high,2021,403630267000.0,611389622240.0,6215106836178.334,479224985036.82,7305721443455.153,-6902091176455.154,18.10003372084867
high,2022,409256133000.0,620403659360.0,6209998596460.0,467357479180.02,7297759735000.0205,-6888503602000.0205,17.831766335435763
low,2000,307213930000.0,147485882460.0,490114840384.375,125939342330.67,763540065175.045,-456326135175.04504,2.485369283792063
low,2001,312920683000.0,146982810265.0,489997003835.75,124808210479.095,761788024579.8451,-448867341579.84503,2.434444464573296
low,2002,320431756000.0,147603852340.0,488993708374.5,135355356907.155,771952917621.655,-451521161621.655,2.409102416246332
low,2003,326527581000.0,148932505830.0,486782981037.625,140032071647.49002,775747558515.115,-449219977515.115,2.375748952475518
low,2004,336123255000.0,150352029280.0,481157133185.75,136521193425.87001,768030355891.62,-431907100891.62,2.2849664355761994
low,2005,350440198000.0,151752736900.0,484239826003.375,139665106582.32,775657669485.695,-425217471485.695,2.2133809817265737
low,2006,360457587000.0,153051865260.0,484481795157.75,145604351413.45502,783138011831.205,-422680424831.20496,2.172621800942159
low,2007,370586859000.0,153517607290.0,483279770556.125,146888751191.98502,783686129038.11,-413099270038.11,2.1147164558204423
low,2008,385696890000.0,154513452385.0,481756004522.0,136524834421.47002,772794291328.47,-387097401328.47,2.0036311190595026
